gencoveid	NA
57c9ff6e-c5d8-4f59-a4a3-4a83f1c7dc96	fb7724e2-2191-4084-be6e-5ee124245744
0814d2be-8e57-419b-9b7d-07966dda2b43	fb7724e2-2191-4084-be6e-5ee124245744
32689548-0854-463d-822d-5db7f05b27ed	fb7724e2-2191-4084-be6e-5ee124245744
cafed333-9a7d-4bcc-958f-042764fa339b	fb7724e2-2191-4084-be6e-5ee124245744
efacaa68-8ea0-4ec6-b400-4c061661a04e	fb7724e2-2191-4084-be6e-5ee124245744
3a302b3e-a46d-4b1d-a8e0-eccf6c2754db	fb7724e2-2191-4084-be6e-5ee124245744
e9207b1f-c3a2-40bc-b46d-16e076a51438	fb7724e2-2191-4084-be6e-5ee124245744
5b5ca817-d799-4ff4-a519-4b8e4ab7f9d1	fb7724e2-2191-4084-be6e-5ee124245744
d7c39df6-4b9c-4319-a712-fdbe9f8997ae	fb7724e2-2191-4084-be6e-5ee124245744
cce76ab2-3058-4fae-9e9b-2974cdcb6cef	fb7724e2-2191-4084-be6e-5ee124245744
8f13c2ee-622d-4e39-80ee-e60b4ac718c9	fb7724e2-2191-4084-be6e-5ee124245744
e48d3009-ea02-41f9-a9da-341511611397	fb7724e2-2191-4084-be6e-5ee124245744
bbdbc9f2-fd4e-4383-8501-9239d59542f1	fb7724e2-2191-4084-be6e-5ee124245744
a6df6725-9e94-4cf7-94f3-bc88b176dab4	fb7724e2-2191-4084-be6e-5ee124245744
e28d4953-c7f4-4708-be09-d93886282353	fb7724e2-2191-4084-be6e-5ee124245744
cb6141dd-c50d-4b9a-8a1a-a2ece99b740a	fb7724e2-2191-4084-be6e-5ee124245744
3803c4fc-3b08-46e7-bb05-6a912cee5c26	fb7724e2-2191-4084-be6e-5ee124245744
c3087a5d-015f-4d3e-892f-8d143ca8c0db	fb7724e2-2191-4084-be6e-5ee124245744
31fa0060-ee84-4e77-870d-4e4302553ee2	fb7724e2-2191-4084-be6e-5ee124245744
4b3eaa49-5466-4328-b0f8-dc16576e2e56	fb7724e2-2191-4084-be6e-5ee124245744
21d88776-e416-4eec-bf2d-5f5cf4526c3b	fb7724e2-2191-4084-be6e-5ee124245744
316a4fc9-0a02-458a-8113-81b4b95a366c	fb7724e2-2191-4084-be6e-5ee124245744
6103d9f5-60b9-46d7-8f35-3d4ce37d4196	fb7724e2-2191-4084-be6e-5ee124245744
bc74b4ad-bf7f-4ae5-be3e-014a20eba3b6	fb7724e2-2191-4084-be6e-5ee124245744
454f6e96-2dc9-4e84-bade-8a5c1897b9a1	fb7724e2-2191-4084-be6e-5ee124245744
e2bf0aff-87e0-4bd4-ab18-03ee79d854d1	fb7724e2-2191-4084-be6e-5ee124245744
46997aa6-ee1d-49b5-9b17-5f246a8e2750	fb7724e2-2191-4084-be6e-5ee124245744
f446674c-436c-44af-b580-64a945b7968a	fb7724e2-2191-4084-be6e-5ee124245744
977282c3-8b09-4972-ab54-310b6fa2398a	fb7724e2-2191-4084-be6e-5ee124245744
f725523b-52bf-4533-8322-4bc59d10251c	fb7724e2-2191-4084-be6e-5ee124245744
1db4b353-e9fe-4351-8f73-e942550f641f	fb7724e2-2191-4084-be6e-5ee124245744
efb93cc9-7adf-447b-a3ad-7650cc1cfd42	fb7724e2-2191-4084-be6e-5ee124245744
6f481b54-b01c-4a1f-9821-a38b9b06affb	fb7724e2-2191-4084-be6e-5ee124245744
dcf92d28-2fec-45fe-bad0-17d12caa1151	fb7724e2-2191-4084-be6e-5ee124245744
2bbd20c6-a74f-4750-8b90-9e1dd0a42d38	fb7724e2-2191-4084-be6e-5ee124245744
9e090ba9-19db-4928-8406-aa579b160ae1	fb7724e2-2191-4084-be6e-5ee124245744
f0c70051-5820-4b38-9149-9d1ccf2845aa	fb7724e2-2191-4084-be6e-5ee124245744
f881edb1-679f-4f3b-aa2d-6535e318750b	fb7724e2-2191-4084-be6e-5ee124245744
84e5b7e8-e072-4a7c-99f5-9db61331b293	fb7724e2-2191-4084-be6e-5ee124245744
cefcbd5a-4744-4304-8d22-303cf08a1052	fb7724e2-2191-4084-be6e-5ee124245744
