id,id2,oldid,vcfid,A,state,gencoveid,projid
10062021-7408,10062021-7408,38-HB,38-HB,0.328792,FL,f54e0a8c-465c-46f2-b062-f4df20c15de5,ceff7dd9-3732-41c4-b870-237342349749
11152021-2556,11152021-2556,172290D,11152021-2556,0.328946,FL,d87f18ec-c0d8-427f-ba2c-157a16af6692,ceff7dd9-3732-41c4-b870-237342349749
M0211-01-06212022-05685,M0211-01-06212022-05685,172285D,M0211-01-06212022-05685,0.337068,FL,22c52dca-9b7d-4a1b-8a30-b3105c335ab3,ceff7dd9-3732-41c4-b870-237342349749
MAN-035-04-06-21,MAN-035-04-06-21,MAN-35-4-6-21,MAN-35-4-6-21,0.338368,FL,bd71f0a5-6dc9-4e85-bb38-ab4ff6b6c633,ceff7dd9-3732-41c4-b870-237342349749
MAN-048-06-16-21,MAN-048-06-16-21,41-HB,41-HB,0.343439,FL,82883f91-e607-43a7-8a41-ec98505a1d87,ceff7dd9-3732-41c4-b870-237342349749
M0038-01-02212022-01432,M0038-01-02212022-01432,4-HB,4-HB,0.347868,FL,da81a0ca-b1fd-483b-a3fe-e925735e8073,ceff7dd9-3732-41c4-b870-237342349749
10272021-6961,10272021-6961,172292D,10272021-6961,0.361571,FL,548e1449-61fd-4a9a-b7ee-5a505f04de45,ceff7dd9-3732-41c4-b870-237342349749
M0180-01-05192022-04492,M0180-01-05192022-04492,25-HB,25-HB,0.367955,FL,993f4b5b-6fec-4ebc-bd36-8a9bffa1b861,ceff7dd9-3732-41c4-b870-237342349749
Mounds_2,Mounds,173354D,173354D,1e-05,IN,4f79c457-c593-4088-9bdf-e3c90019a9d4,fb7724e2-2191-4084-be6e-5ee124245744
Shades_2,Shades,173359D,173359D,1e-05,IN,227c0047-2160-4483-928d-2ee1f166fbf0,fb7724e2-2191-4084-be6e-5ee124245744
Ferdinand_3,Ferdinand,173383D,173383D,1e-05,IN,82ab34e4-7ddb-40b1-9640-2ce6fc08fac8,fb7724e2-2191-4084-be6e-5ee124245744
Selmier_4,Selmier,173393D,173393D,1e-05,IN,2a44138d-af72-4706-8446-967bc968f15d,fb7724e2-2191-4084-be6e-5ee124245744
Selmier_3,Selmier,173395D,173395D,1e-05,IN,708f2256-8550-41f9-ba27-3296f92a48a2,fb7724e2-2191-4084-be6e-5ee124245744
Selmier_2,Selmier,173397D,173397D,1e-05,IN,e33ec7b3-de45-41a2-9b2b-c7cf4692ba53,fb7724e2-2191-4084-be6e-5ee124245744
Tippecanoe River_1,Tippecanoe River,173398D,173398D,1e-05,IN,b7d94389-29e8-4a96-932f-449bf6aa00bc,fb7724e2-2191-4084-be6e-5ee124245744
49_2021Q115_3,49_2021Q115,173430D,173430D,1e-05,IN,fde21c7f-c803-442b-a544-cd47f79c1ec2,fb7724e2-2191-4084-be6e-5ee124245744
Cataracts_1,Cataracts,173435D,173435D,1e-05,IN,b6dce2d3-e531-4dfe-bfd7-bc951989ab89,fb7724e2-2191-4084-be6e-5ee124245744
49_2021Q115_2,49_2021Q115,173449D,173449D,1e-05,IN,1a90626e-147f-488a-8a6c-ec6e1a8164ef,fb7724e2-2191-4084-be6e-5ee124245744
